ID,FisheriesGrp,RegionName,DepthName,AvgOfBiomassDensity,Relative_Contribution,RegionDepthArea_km2
123,menhaden,2_Lou,2_shelf,0.05642204,0.032507603,"52,918"
124,anchovies,2_Lou,2_shelf,4.99568972,0.404450168,"52,918"
125,herrings,2_Lou,2_shelf,4.19432792,0.225756823,"52,918"
126,Atlantic bumper,2_Lou,2_shelf,1.555311,0.119898535,"52,918"
127,butterfishes,2_Lou,2_shelf,42.89090388,0.495241432,"52,918"
128,penaeid shrimp,2_Lou,2_shelf,0.68441572,0.365026696,"52,918"
129,small squids,2_Lou,2_shelf,10.98958608,0.157971133,"52,918"
130,mesopelagic,2_Lou,2_shelf,0,0,"52,918"
131,large pelagics,2_Lou,3_oceanic,33.4656,,"156,859"
132,large jellyfish,2_Lou,3_oceanic,0,,"156,859"
133,offshore sharks,2_Lou,3_oceanic,0,,"156,859"
134,large demersal,2_Lou,3_oceanic,0,,"156,859"
135,large coastal sharks,2_Lou,3_oceanic,0,,"156,859"
136,small coastal sharks,2_Lou,3_oceanic,1.274757,,"156,859"
137,reef invert feeder,2_Lou,3_oceanic,153.333333,,"156,859"
138,blue crab,2_Lou,3_oceanic,0.485708,,"156,859"
139,snapper_grouper,2_Lou,3_oceanic,99.313628,,"156,859"
140,red drum,2_Lou,3_oceanic,0,,"156,859"
141,small demersal,2_Lou,3_oceanic,3208.804744,,"156,859"
142,reef piscivore,2_Lou,3_oceanic,1.792054,,"156,859"
143,eels,2_Lou,3_oceanic,0,,"156,859"
144,large flatfish,2_Lou,3_oceanic,0,,"156,859"
145,small pelagics,2_Lou,3_oceanic,43.333333,,"156,859"
146,small flatfish,2_Lou,3_oceanic,16.666667,,"156,859"
147,skates and rays,2_Lou,3_oceanic,3.333333,,"156,859"
148,mullet,2_Lou,3_oceanic,0,0,"156,859"
149,menhaden,2_Lou,3_oceanic,0,0,"156,859"
150,anchovies,2_Lou,3_oceanic,0,,"156,859"
151,herrings,2_Lou,3_oceanic,3.333333,0.179414362,"156,859"
152,Atlantic bumper,2_Lou,3_oceanic,135.595927,,"156,859"
153,butterfishes,2_Lou,3_oceanic,14.361665,0.165827504,"156,859"
154,penaeid shrimp,2_Lou,3_oceanic,3.717748,,"156,859"
155,small squids,2_Lou,3_oceanic,0.308632,,"156,859"
156,mesopelagic,2_Lou,3_oceanic,0,,"156,859"
157,large pelagics,3_Fla,1_inshore,2.150944,0.0968784,"47,002"
158,large jellyfish,3_Fla,1_inshore,36.89157014,0.275980213,"47,002"
159,offshore sharks,3_Fla,1_inshore,0.008280143,0.013587981,"47,002"
160,large demersal,3_Fla,1_inshore,0.000249714,0.000318443,"47,002"
161,large coastal sharks,3_Fla,1_inshore,0,0,"47,002"
162,small coastal sharks,3_Fla,1_inshore,2.046898714,0.195408487,"47,002"
163,reef invert feeder,3_Fla,1_inshore,5.510165429,0.221426181,"47,002"
164,blue crab,3_Fla,1_inshore,0.168550286,0.085828994,"47,002"
165,snapper_grouper,3_Fla,1_inshore,0.642642429,0.069535604,"47,002"
166,red drum,3_Fla,1_inshore,0,0,"47,002"
167,small demersal,3_Fla,1_inshore,13.14731314,0.052481074,"47,002"
168,reef piscivore,3_Fla,1_inshore,0.373296429,0.180315553,"47,002"
169,eels,3_Fla,1_inshore,0.029532714,0.032101733,"47,002"
170,large flatfish,3_Fla,1_inshore,0.021312571,0.058015967,"47,002"
171,small pelagics,3_Fla,1_inshore,12.92810514,0.065445789,"47,002"
172,small flatfish,3_Fla,1_inshore,1.053413286,0.078244227,"47,002"
173,skates and rays,3_Fla,1_inshore,0.023216286,0.007519758,"47,002"
174,mullet,3_Fla,1_inshore,0,0,"47,002"
175,menhaden,3_Fla,1_inshore,0,0,"47,002"
176,anchovies,3_Fla,1_inshore,0.799420429,0.064720938,"47,002"
177,herrings,3_Fla,1_inshore,1.760358,0.094750062,"47,002"
178,Atlantic bumper,3_Fla,1_inshore,0.500394286,0.03857527,"47,002"
179,butterfishes,3_Fla,1_inshore,0.417223429,0.004817486,"47,002"
180,penaeid shrimp,3_Fla,1_inshore,0.025705286,0.013709673,"47,002"
181,small squids,3_Fla,1_inshore,20.47080614,0.294260077,"47,002"
182,mesopelagic,3_Fla,1_inshore,0,0,"47,002"
183,large pelagics,3_Fla,2_shelf,1.913023143,0.086162458,"122,379"
184,large jellyfish,3_Fla,2_shelf,20.01023386,0.14969351,"122,379"
185,offshore sharks,3_Fla,2_shelf,0.176043571,0.288893174,"122,379"
186,large demersal,3_Fla,2_shelf,0.041825286,0.053336787,"122,379"
187,large coastal sharks,3_Fla,2_shelf,0.095636571,0.04572285,"122,379"
188,small coastal sharks,3_Fla,2_shelf,0.662405286,0.063236942,"122,379"
189,reef invert feeder,3_Fla,2_shelf,8.378222,0.336679129,"122,379"
190,blue crab,3_Fla,2_shelf,0.006149714,0.003131551,"122,379"
191,snapper_grouper,3_Fla,2_shelf,3.521676857,0.381054717,"122,379"
192,red drum,3_Fla,2_shelf,0,0,"122,379"
193,small demersal,3_Fla,2_shelf,49.34175843,0.196961039,"122,379"
194,reef piscivore,3_Fla,2_shelf,0.025611143,0.0123711,"122,379"
195,eels,3_Fla,2_shelf,0.296342857,0.322121405,"122,379"
196,large flatfish,3_Fla,2_shelf,0.128590429,0.350042135,"122,379"
197,small pelagics,3_Fla,2_shelf,4.790247286,0.024249611,"122,379"
198,small flatfish,3_Fla,2_shelf,9.496928714,0.705402011,"122,379"
199,skates and rays,3_Fla,2_shelf,2.328929857,0.754340719,"122,379"
200,mullet,3_Fla,2_shelf,0,0,"122,379"
201,menhaden,3_Fla,2_shelf,0.000364143,0.000209801,"122,379"
202,anchovies,3_Fla,2_shelf,0.019247857,0.001558303,"122,379"
203,herrings,3_Fla,2_shelf,0.445062143,0.023955164,"122,379"
204,Atlantic bumper,3_Fla,2_shelf,0.057582,0.004438982,"122,379"
205,butterfishes,3_Fla,2_shelf,2.013157571,0.023244999,"122,379"
206,penaeid shrimp,3_Fla,2_shelf,0.036033143,0.019217938,"122,379"
207,small squids,3_Fla,2_shelf,14.77950229,0.212449742,"122,379"
208,mesopelagic,3_Fla,2_shelf,0,0,"122,379"
209,large pelagics,3_Fla,3_oceanic,,0,"140,550"
210,large jellyfish,3_Fla,3_oceanic,,0,"140,550"
211,offshore sharks,3_Fla,3_oceanic,,0,"140,550"
212,large demersal,3_Fla,3_oceanic,,,"140,550"
213,large coastal sharks,3_Fla,3_oceanic,,,"140,550"
214,small coastal sharks,3_Fla,3_oceanic,,,"140,550"
215,reef invert feeder,3_Fla,3_oceanic,,,"140,550"
216,blue crab,3_Fla,3_oceanic,,,"140,550"
217,snapper_grouper,3_Fla,3_oceanic,,,"140,550"
218,red drum,3_Fla,3_oceanic,,,"140,550"
219,small demersal,3_Fla,3_oceanic,,,"140,550"
220,reef piscivore,3_Fla,3_oceanic,,,"140,550"
221,eels,3_Fla,3_oceanic,,,"140,550"
222,large flatfish,3_Fla,3_oceanic,,0,"140,550"
223,small pelagics,3_Fla,3_oceanic,,,"140,550"
224,small flatfish,3_Fla,3_oceanic,,0,"140,550"
225,skates and rays,3_Fla,3_oceanic,,,"140,550"
226,mullet,3_Fla,3_oceanic,,,"140,550"
227,menhaden,3_Fla,3_oceanic,,,"140,550"
228,anchovies,3_Fla,3_oceanic,,,"140,550"
229,herrings,3_Fla,3_oceanic,,,"140,550"
230,Atlantic bumper,3_Fla,3_oceanic,,,"140,550"
231,butterfishes,3_Fla,3_oceanic,,,"140,550"
232,penaeid shrimp,3_Fla,3_oceanic,,,"140,550"
233,small squids,3_Fla,3_oceanic,,,"140,550"
234,mesopelagic,3_Fla,3_oceanic,,,"140,550"
